dt,AverageTemperature,City
1849-01-01,6.195,Rome
1849-01-01,1.967,Paris
1849-01-01,2.763,London
1849-01-01,0.859,Berlin
1849-01-01,5.886,Madrid
1849-01-01,,Moscow
1849-01-01,5.002,Istanbul
1849-01-01,,Cairo
1849-01-01,24.753,Mumbai
1849-01-01,-1.576,Beijing
1849-01-01,4.365,Tokyo
1849-01-01,1.078,New York
1849-01-01,-3.807,Chicago
1849-01-01,12.879,Los Angeles
1849-01-01,23.976,Sydney
1849-01-01,24.079,Buenos Aires
1849-01-01,23.313,Lagos
1849-01-01,15.428,Nairobi
1849-01-01,25.868,Bangkok
1849-01-01,-7.059,Toronto
1849-02-01,7.01,Rome
1849-02-01,3.048,Paris
1849-02-01,4.68,London
1849-02-01,0.394,Berlin
1849-02-01,5.374,Madrid
1849-02-01,-8.149,Moscow
1849-02-01,6.662,Istanbul
1849-02-01,16.151,Cairo
1849-02-01,23.452,Mumbai
1849-02-01,0.282,Beijing
1849-02-01,6.115,Tokyo
1849-02-01,1.352,New York
1849-02-01,-2.685,Chicago
1849-02-01,13.513,Los Angeles
1849-02-01,23.877,Sydney
1849-02-01,24.749,Buenos Aires
1849-02-01,24.519,Lagos
1849-02-01,16.389,Nairobi
1849-02-01,,Bangkok
1849-02-01,-4.728,Toronto
1849-03-01,10.999,Rome
1849-03-01,6.103,Paris
1849-03-01,6.871,London
1849-03-01,3.313,Berlin
1849-03-01,9.152,Madrid
1849-03-01,-3.808,Moscow
1849-03-01,9.63,Istanbul
1849-03-01,18.134,Cairo
1849-03-01,25.419,Mumbai
1849-03-01,5.059,Beijing
1849-03-01,8.406,Tokyo
1849-03-01,7.365,New York
1849-03-01,3.74,Chicago
1849-03-01,14.568,Los Angeles
1849-03-01,22.732,Sydney
1849-03-01,20.017,Buenos Aires
1849-03-01,25.228,Lagos
1849-03-01,17.322,Nairobi
1849-03-01,27.505,Bangkok
1849-03-01,0.291,Toronto
1849-04-01,15.127,Rome
1849-04-01,9.299,Paris
1849-04-01,10.225,London
1849-04-01,8.945,Berlin
1849-04-01,14.11,Madrid
1849-04-01,3.811,Moscow
1849-04-01,15.224,Istanbul
1849-04-01,22.167,Cairo
1849-04-01,27.718,Mumbai
1849-04-01,10.735,Beijing
1849-04-01,15.173,Tokyo
1849-04-01,11.966,New York
1849-04-01,9.35,Chicago
1849-04-01,16.823,Los Angeles
1849-04-01,16.251,Sydney
1849-04-01,17.157,Buenos Aires
1849-04-01,26.79,Lagos
1849-04-01,18.104,Nairobi
1849-04-01,27.42,Bangkok
1849-04-01,8.378,Toronto
1849-05-01,19.876,Rome
1849-05-01,14.172,Paris
1849-05-01,15.001,London
1849-05-01,15.003,Berlin
1849-05-01,17.813,Madrid
1849-05-01,12.318,Moscow
1849-05-01,18.792,Istanbul
1849-05-01,26.483,Cairo
1849-05-01,28.376,Mumbai
1849-05-01,18.497,Beijing
1849-05-01,20.874,Tokyo
1849-05-01,18.03,New York
1849-05-01,15.909,Chicago
1849-05-01,20.139,Los Angeles
1849-05-01,12.534,Sydney
1849-05-01,13.703,Buenos Aires
1849-05-01,28.44,Lagos
1849-05-01,19.596,Nairobi
1849-05-01,30.309,Bangkok
1849-05-01,12.996,Toronto
